UNIQUE_SAMPLEID,SAMPLE_ID,FIELD_ID,Grainize,Horizon,Locality,Date_sampled,Latitude,Longitude,Duplicate,Catchment,Ag,Ag,Ag,Al,Al,As,As,As,Au,Au,Au,B,Ba,Ba,Ba,Be,Be,Bi,Bi,Bi,Ca,Ca,Cd,Cd,Cd,Ce,Ce,Ce,Cl,Co,Co,Co,Cr,Cr,Cr,Cs,Cs,Cs,Cu,Cu,Cu,Dy,Dy,Dy,Er,Er,Er,Eu,Eu,Eu,F,F_Rpt,Fe,Fe,Ga,Ga,Ga,Gd,Gd,Gd,Ge,Ge,Hf,Hf,Hg,Hg,Hg,Ho,Ho,In,In,K,K,La,La,La,Li,Li,Lu,Lu,Mg,Mg,Mn,Mn,Mn,Mo,Mo,Mo,Na,Nb,Nb,Nb,Nd,Nd,Nd,Ni,Ni,Ni,P,P,Pb,Pb,Pb206,Pb207,Pb208,Pb,Pd,Pd,Pr,Pr,Pr,Pt,Pt,Rb,Rb,Rb,Re,S,S,Sb,Sb,Sb,Sc,Sc,Sc,Se,Se_Rpt,Se,Se,Se,Si,Sm,Sm,Sm,Sn,Sn,Sn,Sr,Sr,Sr,Ta,Ta,Ta,Tb,Tb,Tb,Te,Te,Th,Th,Th,Ti,Ti,Tl,Tl,Tl,Tm,Tm,U ,U,U,V ,V,V,W ,W,W,Y ,Y,Y,Yb,Yb,Yb,Zn,Zn,Zn,Zr,Zr,Zr
,,,,,,,GDA94,GDA94,,, AR mg/kg,HF-HNO3 ICP-MS,MMI ME,XRF,MMI ME,AR ICP-MS,HF-HNO3 ICP-MS,MMI ME,AR ICP-MS,FA,MMI ME,AR ICP-MS,AR ICP-MS,HF-HNO3 ICP-MS,MMI-ME,AR ICP-MS,HF-HNO3 ICP-MS,AR ICP-MS,HF-HNO3 ICP-MS, MMI-ME,XRF, MMI-ME,AR ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,XRF,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,ISE,ISE,XRF, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS,AR(ICP-MS,HF-HNO3 ICP-MS,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS,AR(ICP-MS,MMI-ME,XRF, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS,XRF, MMI-ME,AR(ICP-MS,XRF, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,XRF,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,XRF, MMI-ME,AR ICP-MS,HF-HNO3 ICP-MS,HF-HNO3 ICP-MS,HF-HNO3 ICP-MS,HF-HNO3 ICP-MS, MMI-ME,FA, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,FA, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS, MMI-ME,XRF,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR SIE,AR SIE,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,XRF,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,XRF, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS,AR ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR(ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR ICP-MS,HF-HNO3 ICP-MS, MMI-ME,AR ICP-MS,HF-HNO3 ICP-MS, MMI-ME
,,,,,,,Degree decimal,Degree decimal,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppb,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppb,ppb,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
INTREF01_1TC,Batch_1,INTREF01,<2 mm,TOS,,,,,STD,,0.037,0.000188,0.002,59368.9229,74,3.5,5.067658883,<0.01,3.9,0.001,<0.0001,3,227,289.7724661,3.76,1.1,1.627562804,0.12,0.054249927,<0.001,3859.343795,470,0.03,0.081440405,0.003,42.7,53.13259252,0.672,,24.2,24.40491812,0.185,29,52.84364279,0.014,1.93,3.502915089,0.0061,13.8,17.33654889,0.33,3.1,4.206985679,0.28,1.2,2.404240879,0.17,1.2,1.386629496,0.0575,100,,36020.97683,23,7.16,11.79639865,0.012,4.4,4.967427304,0.251,< 0.1,3.473864323,< 0.1,3.391911972,10,0.671104362,<0.001,0.6,0.828153167,0.04,<0.0005,3403.550195,35.2,19.6,24.51638474,0.128,15.1,0.01,0.1,0.324968817,2834.920635,207,2150,2245.833921,35.5,0.51,0.423527679,<0.005,1706.394167,0.1,9.297460643,0.0013,21.7,26.23830145,0.461,20.1,22.47669657,1.3,305.5226824,0.7,11.4,33.87380664,10.67254144,11.76777431,11.43349088,0.1,0.001,<0.001,5.7,6.634873255,0.08,<0.0005,<0.001,26,44.09649485,0.294,< 0.001,24,,0.08,0.291332486,<0.001,7.2,11.74776167,0.328,0.2,,0.9,1.837128818,<0.002,313490.8425,4.6,5.507797691,0.168,0.82,1.423943339,<0.001,43.6,69.45967631,5.92,< 0.05,0.859675758,<0.001,0.6,0.72360019,0.039,0.06,<0.01,3.8,7.729241363,0.0494,6174.843554,0.008,0.14,0.221066176,0.0007,0.2,0.346281614,0.6,1.536628833,0.044,68,93.89664381,0.017,< 0.1,1.382363747,0.001,12.4,23.18230925,1.43,0.8,2.23104267,0.119,39.5,42.7475904,1,1.9,141.7357825,0.052
INTREF01_1TF,Batch_1,INTREF01,<75 µm,TOS,,,,,STD,,0.023,0.000198,,52278.51677,,2.8,5.158139792,,1.9,0.049,,< 1,209,296.8558894,,1,1.740984922,0.11,0.057064798,,3359.058488,,< 0.01,0.114062669,,41.2,52.19944164,,,22,22.74684537,,25,54.78872659,,1.65,3.611653482,,14.4,17.52786474,,2.9,4.64003214,,1.2,2.689255244,,1.2,1.449673858,,100,,34272.38572,,7.61,12.15013192,,4.2,5.418320267,,0.1,3.492857706,< 0.1,3.836833629,30,1.400633409,,0.5,0.935568428,0.04,,3237.523357,,19.6,25.28240502,,14.3,,< 0.1,0.368000195,2653.968254,,1850,2400.719019,,0.29,0.359033377,,1483.821015,< 0.1,10.43455712,,21.6,26.90473095,,20.4,22.58587701,,261.876585,,10.2,,10.35333156,11.27164318,10.92205527,,0.001,,5.7,6.83605461,,<0.0005,,24.2,45.87648102,,< 0.001,,,0.07,0.306078678,,6.5,12.18626503,,0.21,,0.4,1.568452451,,321012.7539,4.5,5.712199426,,0.78,1.494217934,,42.9,70.8472588,,< 0.05,0.970646525,,0.6,0.788247303,,< 0.02,,6.7,8.144346048,,5515.394243,,0.11,0.221545431,,0.2,0.398292408,0.6,1.750189145,,69,96.5694512,,< 0.1,1.561416518,,12.6,25.91735156,,0.7,2.532306135,,39.7,43.24957468,,1.2,158.2187467,
INTREF01_2TC,Batch_2,INTREF01,<2 mm,TOS,,,,,STD,,,0.00007,0.002,54659.62331,60,,5.87,<0.01,,<0.001,<0.0001,,,290.75,3.5,,1.48,,0.18,<0.001,3430.527817,430,,0.07,0.002,,53.13,0.449,,,23.14,0.286,,57.61,0.014,,3.65,0.0056,,29.43,0.2,,4.89,0.201,,2.78,0.129,,1.48,0.0442,100,,34692.04759,12,,13.23,0.008,,5.71,0.188,,1.96,,4.8,,24.34,<0.001,,0.96,,,3320.536776,33.7,,26.99,0.134,,<0.005,,0.39,2895.238095,186,,2090.948823,37.7,,0.43,<0.005,3486.979385,,11.26,<0.0005,,27.84,0.411,,26.65,0.946,436.4609749,0.5,,35.87,11.31,12.46,12.09,0.07,<0.001,<0.001,,7.12,0.077,<0.0005,<0.001,,44.08,0.304,,,,,9.81,<0.001,,15.48,0.242,0.12,,,5.32,<0.002,320452.1146,,5.9,0.145,,1.74,<0.001,,71.93,4.19,,1.92,<0.001,,0.83,0.03,,<0.01,,8.59,0.0611,5695.244055,<0.003,,0.24,0.0007,,0.39,,1.78,0.036,,98.57,0.003,,1.61,0.001,,24.7,0.987,,2.63,0.096,,57.2,0.77,,168.52,0.032
INTREF01_2TC,Batch_2,INTREF01,<2 mm,TOS,,,,,STD,,,,,76142.49559,,,,,,,,,,,,,,,,,5002.853067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12449.96869,,,,,,,,,,,,,,,,,,,33869.47511,,,,,,,,,1869.84127,,,232.327647,,,,,14912.4012,,,,,,,,,,174.58439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293915.1848,,,,,,,,,,,,,,,,,,,,,3357.196496,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTREF01_2TC,Batch_2,INTREF01,<2 mm,TOS,,,,,STD,,,,,57569.86463,,,,,,,,,,,,,,,,,3144.650499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37070.1315,,,,,,,,,,,,,,,,,,,3569.577034,,,,,,,,,2714.285714,,,2323.27647,,,,,1261.247863,,,,,,,,,,567.3992674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318443.1568,,,,,,,,,,,,,,,,,,,,,6054.94368,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTREF01_2TF,Batch_2,INTREF01,<75 µm,TOS,,,,,STD,,0.057,0.00006,,58733.96115,,4.6,5.55,,0.6,<0.001,,3,214,273.92,,1.1,1.11,0.1,0.16,,3144.650499,,0.01,0.03,,42.8,49.92,,,23,24.17,,29,52.75,,1.55,3.44,,14.9,19.7,,2.9,4.57,,1.2,2.62,,1.3,1.35,,100,,35391.48403,,9.38,12.92,,4.3,5.25,,0.2,1.7,< 0.1,4.22,< 10,19.48,,0.5,0.9,0.03,,3403.550195,,20.7,24.29,,14.6,,0.1,0.36,2774.603175,,2370,2478.161568,,0.26,0.43,,593.528406,0.1,9.41,,23.4,25.23,,20.1,24.12,,261.876585,,10.4,35.42,11.18,12.29,11.95,,<0.001,,5.6,6.44,,<0.0005,,24.5,40.95,,< 0.001,,,0.08,6.84,,7.6,13.64,,0.15,,2.4,5.34,,318536.5967,4.9,5.49,,0.82,1.55,,46.5,65.58,,< 0.05,1.6,,0.6,0.76,,0.02,,3.5,7.72,,5455.444305,,0.09,0.23,,0.1,0.36,0.5,1.58,,77,92.93,,< 0.1,1.43,,12.3,23.06,,0.8,2.4,,43.6,44.75,,1.8,149.87,
INTREF01_2TF,Batch_2,INTREF01,<75 µm,TOS,,,,,STD,,,,,53707.18069,,,,,,,,,,,,,,,,,3287.589158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34692.04759,,,,,,,,,,,,,,,,,,,3071.496518,,,,,,,,,2774.603175,,,2323.27647,,,,,3412.788334,,,,,,,,,,436.4609749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322741.3919,,,,,,,,,,,,,,,,,,,,,5395.494368,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTREF01_2TF,Batch_2,INTREF01,<75 µm,TOS,,,,,STD,,,,,53760.09417,,,,,,,,,,,,,,,,,2930.242511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35391.48403,,,,,,,,,,,,,,,,,,,3154.509937,,,,,,,,,2774.603175,,,2323.27647,,,,,816.1015582,,,,,,,,,,305.5226824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326292.1079,,,,,,,,,,,,,,,,,,,,,5575.34418,,,,,,,,,,,,,,,,,,,,,,,,,,,
